acronym,full_form
'cause,because
'cos,because
'coz,because
2f4u,too fast for you
411,information
4yeo fyeo,for your eyes only
aamof,as a matter of fact
ace,a cool experience
acronym,full_form
ad,awesome dude
aeap,as early as possible
af,as fuck
afaic,as far as I'm concerned
afaics,as far as I can see
afaict,as far as I can tell
afaik,as far as I know
afaik,as far as I know
afair,as far as I remember
afaiu,as far as I understand
afaiui,as far as I understand it
afap,as far as possible
afayc,as dar as you are concerned
afiaa,as far as I am aware
afk,away from keyboard
aida,"attention, interest, desire, action"
aka,also known as
alap,as late as possible
ama,ask me anything
ani,age not important
asap,as soon as possible
asl,"age, sex, location"
b/c,because
b2b,business-to-business
b2c,business-to-consumer
b3,"blah, blah, blah"
b4,before
b4yki,before you know it
bae,before anyone else
bc,because
bff,best friends forever
bm&y,between me and you
brb,be right back
brt,be right there
btaim,be that as it may
bts,behind the scenes
btt,back to topic
btw,by the way
c&p,copy and paste
can-spam,controlling the assault of non-solicited pornography and marketing act
cc,carbon copy
cmgr,community manager
cms,content management system
cos,because
coz,because
cpc,cost per click
cpm,cost per thousand
cr,conversion rate
crm,customer relationship management
cta,call to action
ctn,cannot talk now
ctr,clickthrough rate
cu,see you
cul,see you later
cus,see you soon
cwot,complete waste of time
cwyl,chat with you later
cx,customer experience
cys,check your settings
cyt,see you tomorrow
dae,does anyone else
dftba,don’t forget to be awesome
dgmw,don't get me wrong
dm,direct message
dyk,did you know
ebook,electronic book
eli5,explain like i’m 5 years old
em?,excuse me?
eobd,end of business day
eod,end of discussion
eom,end of message
eot,end of thread text
esp,email service provider
f2f,face to face
fack,full acknowledge
faq,frequently asked questions
fath,first and truest husband
fb,facebook
fbf,flashback friday
fbo,facebook official
fc,fingers crossed
ff,follow friday
ffs,for fuck‘s sake
fka,formerly known as
fml,fuck my life
foaf,friend of a friend
fomo,fear of missing out
ftfy,fixed that for you
ftw,for the win!
futab,"feet up, take a break"
fwiw,for what it’s worth
fyi,for your information
g+,google+
g2g,got to to
ga,google analytics
gg,good game
gif,graphics interchange format
gr8,great
gtg,got to go
gtr,got to run
hak,hugs and kisses
hbd,happy birthday
hf,have fun
hifw,how I feel when
hmb,hit me back
hmu,hit me up
ht,hat tip
hth,happy to help
ianad,I am not a doctor
ianal,I am not a lawyer
icymi,in case you missed it
idc,I don’t care
idgaf,I don't give a fuck
idk,I don’t know
ig,instagram
iirc,if I remember correctly
ikr,"I know, right"
ily,I love you
imho,in my humble opinion
imnsho,in my not so humble opinion
imo,in my opinion
imu,I miss you
io,insertion order
iow,in other words
irl,in real life
iso,in search of
isp,internet service provider
itt,in this thread
jc,just checking
jk,just kidding
jtlyk,just to let you know
jtm,just the messenger
kfy,kiss for you
kmn,kill me now
kpc,keeping parents clueless
kpi,key performance indicator
l8,late
li,linkedin
lmao,laughing my ass off
lmk,let me know
lms,like my status
lol,laughing out loud
lolz,laughing out loud
mcm,man crush monday
mdd,major depressive disorder
mirl,me in real life
mm,music monday
mmw,mark my words
mt,modified tweet
mtfbwy,may the force be with you
nm,not much
noyb,none of your business
np,no problem
nrn,no reply necessary
nsfl,not safe for life
nsfw,not safe for work
nvm,never mind
oan,on another note
omg,oh my god
omw,on my way
ootd,outfit of the day
op,original poster
orly,oh really?!
otoh,on the other hand
otp,one true pairing
p2p,person to person
pm,private message
potd,photo of the day
pov,point of view
ppc,pay per click
ppl,people
pr,public relations
pv,page views
qft,quoted for truth
qotd,quote of the day
rn,right now
rofl,rolling on the floor laughing
roflmao,rolling on the floor laughing my ass off
roi,return on investment
rss,really simple syndication
rt,retweet
rtd,real-time data
rw,right now
saas,software as a service
sem,search engine marketing
seo,search engine optimization
serp,search engine results page
sfw,safe for work
sm,social media
smb,small business
smh,shaking my head
smm,social media marketing
smo,social media optimization
smp,social media platform
solomo,"social, local, mobile"
sov,share of voice
tba,to be announced
tbc,to be continued
tbh,to be honest
tbt,throwback thursday
tgif,thank goodness it’s friday
tia,in advance
til,today I learned
tl;dr,too long; didn’t read
tmi,too much information
tmw,tomorrow
tmrw,tomorrow
tos,terms of service
ttyl,talk to you later
ttyn,talk to you never
ttys,talk to you soon
ty,thank you
ugc,user generated content
ui,user interface
url,uniform resource locator
uv,unique visitor
ux,user experience
w/,with
wbu,what about you?
wcw,woman crush wednesday
wdymbt,what do you mean by that?
wom,word of mouth
wotd,word of the day
wtf,what the fuck
wya,where you at?
xoxoxox,hugs and kisses
yda,yesterday
yest,yesterday
ymmv,your mileage may vary
yolo,you only live once
ysk,you should know
yt,youtube
ystd,yesterday
yw,you’re welcome
